,Area Name,Pin Code,Division Name,longitude,latitude
0,Arabic College,560045,Bangalore East,77.6206,13.0291
1,Bellandur,560103,Bangalore East,77.676,12.9298
2,Domlur,560071,Bangalore East,77.6359,12.9611
3,Dr. Shivarama Karanth Nagar,560077,Bangalore East,77.6293,13.0681
4,Fraser Town,560005,Bangalore East,77.6164,13.0005
5,G.K.V.K.,560065,Bangalore East,77.5784,13.0781
6,H.A.L II Stage,560008,Bangalore East,77.6427,12.9686
7,HighCourt,560001,Bangalore East,77.5915,12.9773
8,Jeevanbhimanagar,560075,Bangalore East,77.6535,12.9695
9,Kothanur,560077,Bangalore East,77.6478,13.0614
10,Mahatma Gandhi Road,560001,Bangalore East,77.61,12.9739
11,Marathahalli Colony,560037,Bangalore East,77.688,12.9559
12,NAL,560017,Bangalore East,77.6502,12.9596
13,New Thippasandra,560075,Bangalore East,77.6572,12.9716
14,Sadashivanagar,560080,Bangalore East,77.5772,13.0094
15,Sahakaranagar P.O,560092,Bangalore East,77.58800000000001,13.0621
16,Vimanapura,560017,Bangalore East,77.6679,12.9585
17,Yelahanka,560064,Bangalore East,77.5975,13.0958
18,Yelahanka Satellite Town,560064,Bangalore East,77.58,13.0946
19,Bangalore G.P,560001,Bangalore GPO,77.5955,12.9814
20,Ashoknagar S.O (Bangal,560050,Bangalore South,77.5645,12.9377
21,B Sk II Stage,560070,Bangalore South,77.5695,12.9265
22,Bannerghatta Road,560076,Bangalore South,77.5997,12.8976
23,Basavanagudi,560004,Bangalore South,77.5741,12.9446
24,Bommanahalli S.O (Bangal,560068,Bangalore South,77.6311,12.9068
25,Bommasandra Industrial Estate,560099,Bangalore South,77.6878,12.8203
26,Carmelram,560035,Bangalore South,77.6937,12.9078
27,Chandapura,560081,Bangalore South,77.7041,12.8016
28,Dharmaram College,560029,Bangalore South,77.5684,12.9352
29,Electronics City,560100,Bangalore South,77.6626,12.84
30,Gottigere,560083,Bangalore South,77.5883,12.8564
31,HSR Layout,560102,Bangalore South,77.6382,12.9152
32,Hulimavu,560076,Bangalore South,77.6022,12.885
33,J P Nagar,560078,Bangalore South,77.5868,12.9119
34,Jayanagar,560041,Bangalore South,77.586,12.9237
35,Jayangar III Block,560011,Bangalore South,77.5835,12.9304
36,JP Nagar III Phase,560078,Bangalore South,77.5976,12.9139
37,Koramangala VI Bk,560095,Bangalore South,77.6186,12.9384
38,Mico Layout,560076,Bangalore South,77.6099,12.9103
39,Padmanabhnagar,560070,Bangalore South,77.5576,12.9176
40,St. John's Medical College,560034,Bangalore South,77.6262,12.9277
41,Gayathrinagar,560021,Bangalore West,77.5581,13.001
42,Jalahalli East,560014,Bangalore West,77.5463,13.0728
43,Jalahalli,560013,Bangalore West,77.5539,13.0506
44,Mahalakshmipuram Layout,560086,Bangalore West,77.5466,13.0108
45,Malleswaram,560003,Bangalore West,77.5709,13.0002
46,Malleswaram West,560055,Bangalore West,77.5629,13.0089
47,Mathikere,560054,Bangalore West,77.5576,13.0403
48,Msrit,560054,Bangalore West,77.5642,13.0298
49,Palace Guttahalli,560003,Bangalore West,77.5819,12.9993
50,Rajajinagar,560010,Bangalore West,77.5545,12.9932
51,Rajajinagar IVth Block,560010,Bangalore West,77.5612,12.9831
52,Swimming Pool Extn,560003,Bangalore West,77.574,12.9968
53,Vidyaranyapura,560097,Bangalore West,77.5575,13.075999999999999
54,Vyalikaval Extn,560003,Bangalore West,77.5769,13.004000000000001
55,Yeswanthpura,560022,Bangalore West,77.5562,13.0197
